                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.54242,                0.44369,                  1.001,                 0.7599,                0.74713,                0.74868,                0.52344,                 1.2351,                 1.0571,                 1.6724,              0.0002774,              0.0002774,              0.0002774
                     89,                0.52586,                0.42694,                0.99849,                0.77888,                0.74713,                0.74651,                0.52219,                 1.2465,                 1.0236,                 1.7038,              0.0002576,              0.0002576,              0.0002576
                     90,                0.56271,                0.46204,                   1.01,                0.78314,                0.75862,                0.75307,                0.51636,                 1.2606,                 1.0475,                 1.7157,              0.0002378,              0.0002378,              0.0002378
                     91,                0.42595,                0.36606,                0.93495,                0.75209,                0.73563,                0.72814,                0.46966,                 1.3856,                 1.2303,                 1.8536,               0.000218,               0.000218,               0.000218
                     92,                0.40841,                0.32307,                0.90323,                0.71005,                0.66667,                 0.6832,                0.47025,                 1.4252,                 1.1809,                 1.9485,              0.0001982,              0.0001982,              0.0001982
                     93,                0.41381,                0.32939,                 0.9095,                 0.8017,                0.67816,                 0.7056,                0.49325,                 1.3597,                 1.0423,                 1.8871,              0.0001784,              0.0001784,              0.0001784
                     94,                0.40821,                  0.313,                0.91933,                0.75517,                0.72414,                0.70602,                0.50528,                 1.2691,                0.98888,                 1.7818,              0.0001586,              0.0001586,              0.0001586
                     95,                0.38479,                0.30962,                0.90444,                 0.7938,                0.72414,                0.72569,                0.51663,                  1.273,                  0.999,                  1.755,              0.0001388,              0.0001388,              0.0001388
                     96,                0.37516,                0.29625,                0.89273,                0.77301,                 0.7046,                0.73001,                0.51506,                 1.2735,                 1.0784,                 1.7629,               0.000119,               0.000119,               0.000119
                     97,                 0.3748,                0.28463,                0.89521,                0.81256,                0.69761,                0.73599,                0.52686,                 1.2606,                 1.0716,                  1.749,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.38511,                0.28671,                0.88107,                0.79103,                0.71264,                0.74281,                0.52982,                 1.2522,                 1.0027,                 1.7443,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.36364,                0.28894,                0.87867,                 0.8033,                0.70115,                0.74365,                0.53757,                 1.2234,                 1.0109,                  1.698,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.3635,                0.27596,                0.88753,                0.74353,                0.75862,                0.74673,                0.54547,                 1.2053,                0.99076,                 1.6926,               3.98e-05,               3.98e-05,               3.98e-05
